Experimental_Interaction	db	publications
"[{'Q8CZY7', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D0P1', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGV7', 'O00186'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2S9PFE9', 'O00193'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00193', 'Q7ARN6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5ZSQ7', 'O00194'}]"	Manual	{'25739981'}
"[{'O00194', 'Q5WXW8'}]"	Manual	{'25739981'}
"[{'O00203', 'A0A0H3LA42'}]"	IntAct	{'30118682'}
"[{'O00203', 'Q0WAW4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00206', 'Q8ZJ10'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q56061', 'O00213'}]"	Manual	{'31611645'}
"[{'O00214', 'Q62B10'}]"	Manual	{'23800426'}
"[{'P03427', 'O00231'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O00231'}]"	HPIdb	{'26789921'}
"[{'P05777', 'O00231'}]"	HPIdb	{'25464832'}
"[{'P06821', 'O00231'}]"	HPIdb	{'26789921'}
"[{'O00232', 'A0A380SBC9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00232', 'A0A2P0HLN8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O00232'}]"	HPIdb	{'25464832'}
"[{'O00232', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O00232', 'P03496'}]"	HPIdb	{'26789921'}
"[{'O00232', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O00232', 'P06821'}]"	HPIdb	{'26789921'}
"[{'A0A6L7H1G2', 'O00233'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3P1U2X5', 'O00237'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00264', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P05777', 'O00264'}]"	HPIdb	{'25464832'}
"[{'O00264', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'O00264', 'A0A0H3LG06'}]"	IntAct	{'30118682'}
"[{'O84819', 'O00267'}]"	IntAct	{'26118995'}
"[{'A0A6L7HPS8', 'O00267'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O00267'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03433', 'O00267'}]"	HPIdb	{'26789921'}
"[{'P03508', 'O00267'}]"	HPIdb	{'26789921'}
"[{'O00273', 'A0A6L8P9C4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4BEU0', 'O00299'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00299', 'A0A0F7REA8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZM8', 'O00299'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00299', 'Q5NID2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3P1U0S6', 'O00299'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81U22', 'O00299'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'O00299'}]"	HPIdb;IntAct	{'29176882'}
"[{'O00299', 'A0A6L8P1I7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00303', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O00303', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P06929', 'O00303'}]"	HPIdb;IntAct	{'22898364'}
"[{'O00308', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'P08191', 'O00322'}]"	HPIdb;IntAct	{'28228557'}
"[{'A0A0H2WHG6', 'O00330'}]"	Manual	{'23800426'}
"[{'O00339', 'P06465'}]"	HPIdb	{'22898364'}
"[{'O00339', 'O68704'}]"	HPIdb;IntAct	{'21911467'}
"[{'A0A0H2XDA5', 'O00399'}]"	Manual	{'23800426'}
"[{'Q83A33', 'O00399'}]"	HPIdb;IntAct	{'29176882'}
"[{'O00399', 'O84166'}]"	IntAct	{'26118995'}
"[{'Q83D60', 'O00399'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q62M26', 'O00399'}]"	Manual	{'23800426'}
"[{'O84952', 'O00400'}]"	Manual	{'31611645'}
"[{'B7UM99', 'O00401'}]"	IntAct	{'15296718'}
"[{'P0DJ89', 'O00401'}, {'P0DJ88', 'O00401'}]"	HPIdb;IntAct	"{'22921828', '18650809'}"
"[{'O00401', 'Q8X482'}]"	IntAct	"{'15296718', '15527496'}"
"[{'O00408', 'Q7ARD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00408', 'Q6KNA9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7ARD3', 'O00410'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84388', 'O00410'}]"	IntAct	{'26118995'}
"[{'P15682', 'O00410'}]"	HPIdb	{'25464832'}
"[{'P03468', 'O00410'}]"	HPIdb;IntAct	"{'26789921', '28169297'}"
"[{'P05777', 'O00410'}]"	HPIdb	{'25464832'}
"[{'P06821', 'O00410'}]"	HPIdb;IntAct	{'28169297'}
"[{'A0A0H3LD76', 'O00410'}]"	IntAct	{'30118682'}
"[{'A0A0H2XDA5', 'O00422'}]"	Manual	{'23800426'}
"[{'O00422', 'A0A0H2XDM6'}]"	Manual	{'23800426'}
"[{'Q5NH45', 'O00422'}]"	IntAct	{'26714771'}
"[{'Q5NGY2', 'O00422'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00422', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O00425', 'P03496'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q84JW1', 'O00429'}]"	BioGrid	{'20826455'}
"[{'O00429', 'Q8ZMM8'}]"	Manual	{'31611645'}
"[{'Q8D0H2', 'O00443'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGV3', 'O00459'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'O00459'}]"	HPIdb;IntAct	"{'22810585', '23853584', '16963558', '28169297'}"
"[{'O00461', 'Q7BQ98'}]"	HPIdb;IntAct	{'22267811'}
"[{'Q9APZ2', 'O00463'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83D60', 'O00469'}]"	HPIdb;IntAct	{'29176882'}
"[{'O00470', 'Q8D1Q5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WD43', 'O00472'}]"	Manual	{'23800426'}
"[{'O00478', 'Q6KNA9'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZY0', 'O00479'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHS4', 'O00481'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00483', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'O00483'}]"	HPIdb	{'26789921'}
"[{'O00483', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P03427', 'O00487'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O00487'}]"	HPIdb	{'26789921'}
"[{'P05777', 'O00487'}]"	HPIdb	{'25464832'}
"[{'O00487', 'P06821'}]"	HPIdb	{'26789921'}
"[{'O00499', 'A0A0F6B423'}]"	Manual	{'34237247'}
"[{'P03427', 'O00505'}]"	HPIdb;IntAct	"{'25464832', '28611246', '23816991', '30833792'}"
"[{'P03433', 'O00505'}]"	HPIdb;IntAct	"{'26789921', '20064372'}"
"[{'O00505', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O00505'}]"	HPIdb;IntAct	{'20064372'}
"[{'Q83DF6', 'O00505'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q62M26', 'O00505'}]"	Manual	{'23800426'}
"[{'A0A3N4AWI2', 'O00507'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZBZ9', 'O00519'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00522', 'Q81LD0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00522', 'A0A6L8PU59'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00555', 'P69980'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHP5', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2H4E7', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YE67', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YCG4', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H5N1', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7CGT6', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HE73', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI40', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4BL48', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81Z36', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WA24', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A384KL32', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGY3', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81L10', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'P58526', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7RFX5', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00560', 'Q5NFA1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2P0HDF0', 'O00560'}, {'D1MPV2', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGY2', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7GZL8', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8NXF0', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D078', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q6VGT1', 'O00560'}]"	HPIdb;IntAct	{'22810586'}
"[{'Q5NF75', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7CGI0', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI89', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HEE0', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'P46359', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6H3AEK5', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PXD8', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8NVB0', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YGB3', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZM5', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'O68759', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZDF8', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0WJQ7', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZEU8', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HL61', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGH1', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81KT8', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3Q0PRJ6', 'O00560'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGW9', 'O00562'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03433', 'O00567'}]"	HPIdb	{'26789921'}
"[{'P03496', 'O00567'}]"	HPIdb	{'26789921'}
"[{'O00571', 'A0A6L8PM02'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00571', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'O00571', 'Q8CLV1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00571', 'C7H4X2'}]"	Manual	{'31503404'}
"[{'O00571', 'P03427'}]"	HPIdb;IntAct	"{'25464832', '28611246', '23816991'}"
"[{'O00571', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O00571', 'P05777'}]"	HPIdb	{'25464832'}
"[{'A0A6L7HC45', 'O00571'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00571', 'Q62M26'}]"	Manual	{'23800426'}
"[{'O00584', 'Q5NGV3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00584', 'A0A5P8YKP4'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PYW1', 'O00584'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00585', 'A0A0F7RLF6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00592', 'Q5ZSD5'}]"	HPIdb;IntAct	{'17360363'}
"[{'O00592', 'Q8Z6A7'}]"	HPIdb;IntAct	{'23842500'}
"[{'O00602', 'P9WQP3'}]"	IntAct	{'27141819'}
"[{'P9WQP1', 'O00602'}, {'O00602', 'P9WQP0'}]"	IntAct	{'27141819'}
"[{'O00602', 'Q2G1P8'}]"	Manual	{'27302108'}
"[{'Q8CZZ7', 'O00622'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NF53', 'O00622'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1P8', 'O00629'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O00629'}]"	HPIdb;IntAct	"{'25464832', '30833792'}"
"[{'P03433', 'O00629'}]"	HPIdb	{'26789921'}
"[{'O00629', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O00716', 'P06465'}]"	HPIdb;IntAct	{'16249186'}
"[{'A0A0H3LBL5', 'O00743'}]"	IntAct	{'30118682'}
"[{'P03427', 'O00743'}]"	HPIdb	{'25464832'}
"[{'O00743', 'P03508'}]"	HPIdb	{'26789921'}
"[{'O00743', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O00748', 'P58680'}]"	HPIdb;IntAct	{'20711500'}
"[{'P06929', 'O00762'}]"	HPIdb;IntAct	{'22898364'}
"[{'O00767', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'O00767', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'O00767'}]"	HPIdb	{'26789921'}
"[{'P05777', 'O00767'}]"	HPIdb	{'25464832'}
"[{'A0A0H2YGU6', 'O14494'}, {'A0A6B3T6Y5', 'O14494'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03508', 'O14503'}]"	HPIdb	{'20064372'}
"[{'O14519', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O14520', 'A0A0H2WCL3'}]"	Manual	{'23800426'}
"[{'A0A6H3AKG3', 'O14524'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14526', 'A0A3N4BEU0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P31522', 'O14545'}]"	HPIdb;IntAct	{'21911467'}
"[{'O14558', 'Q81KT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14578', 'P03496'}]"	HPIdb;IntAct	{'28169297'}
"[{'O14578', 'P12848'}]"	HPIdb	{'19637933'}
"[{'A0A2S9PLF4', 'O14579'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PE10', 'O14595'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NH45', 'O14595'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14595', 'A0A6L8PBV5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81P26', 'O14595'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14617', 'A0A380PJ37'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84008', 'O14617'}]"	IntAct	{'26118995'}
"[{'O14617', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'A0A2U2H1F8', 'O14625'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03433', 'O14639'}]"	HPIdb;IntAct	{'20064372'}
"[{'O14641', 'Q5NEY1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14641', 'A0A0F7R9R7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14641', 'Q5NHD9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14641', 'Q5NIP6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14641', 'P03427'}]"	IntAct	{'23816991'}
"[{'O14641', 'P03508'}]"	HPIdb	{'20064372'}
"[{'O14641', 'P06821'}]"	HPIdb;IntAct	{'20064372'}
"[{'O14641', 'Q12439'}]"	BioGrid;HPIdb;IntAct	{'27107014'}
"[{'O84951', 'O14654'}]"	Manual	{'31611645'}
"[{'P03496', 'O14654'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q56061', 'O14654'}]"	Manual	{'31611645'}
"[{'O14654', 'Q8ZMM8'}]"	Manual	{'31611645'}
"[{'A0A3N4AWI2', 'O14662'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZAA1', 'O14672'}]"	HPIdb;IntAct	{'20711500'}
"[{'P09616', 'O14672'}]"	HPIdb;IntAct	{'20624979'}
"[{'O14684', 'P03468'}]"	HPIdb	{'26789921'}
"[{'A0A6L8PQC3', 'O14686'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4B378', 'O14686'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O14709'}]"	HPIdb;IntAct	{'28611246'}
"[{'O14732', 'Q8CKM5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H3NF77', 'O14733'}]"	Manual	{'22213674'}
"[{'O14735', 'P03118'}]"	HPIdb;IntAct	{'22761572'}
"[{'O14735', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O14735', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'O68769', 'O14737'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O14744'}]"	HPIdb;IntAct	"{'25464832', '28611246'}"
"[{'P03433', 'O14744'}]"	HPIdb	{'26789921'}
"[{'O14744', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O14744'}]"	HPIdb	{'26789921'}
"[{'O14744', 'P03508'}]"	HPIdb	{'26789921'}
"[{'O14744', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O14745', 'B7UIL3'}]"	IntAct	{'20618342'}
"[{'Q5NG24', 'O14770'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PX73', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YGH4', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HGM4', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14773', 'A0A3P1UEK7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YCT6', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YEB4', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14773', 'A0A380PGZ4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NIP6', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PSZ0', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'P40127', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'P05777', 'O14773'}]"	HPIdb	{'25464832'}
"[{'P06929', 'O14773'}]"	IntAct	{'22898364'}
"[{'O14773', 'A0A6L7GZX4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14773', 'A0A3N4B0C2'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14773', 'Q0WAP0'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZA85', 'O14773'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HA16', 'O14776'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4AZU4', 'O14786'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NES6', 'O14786'}]"	IntAct	{'26714771'}
"[{'Q83DE4', 'O14786'}]"	HPIdb;IntAct	{'29176882'}
"[{'O14795', 'Q81VX3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14802', 'P69959'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14818', 'Q8D1L3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14818', 'Q83A11'}]"	HPIdb;IntAct	{'29176882'}
"[{'O14818', 'Q83BF4'}]"	HPIdb;IntAct	{'29176882'}
"[{'O14818', 'A0A0F6B1Q8'}]"	Manual	{'34237247'}
"[{'O14827', 'Q5NIJ1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84569', 'O14828'}]"	IntAct	{'26118995'}
"[{'O14828', 'P03468'}]"	HPIdb	{'26789921'}
"[{'O14828', 'P06821'}]"	HPIdb;IntAct	{'28169297'}
"[{'O14836', 'A0A5P8YAM6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGJ5', 'O14867'}]"	IntAct	{'26714771'}
"[{'O14879', 'Q8CZK5'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14879', 'Q8D0D4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14879', 'A0A6L7HS72'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84008', 'O14880'}]"	IntAct	{'26118995'}
"[{'P12520', 'O14893'}]"	HPIdb;IntAct	{'22190034'}
"[{'A0A0F7REH3', 'O14901'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14907', 'Q5NFN2'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14907', 'Q8CZW9'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14907', 'Q5NHD8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14907', 'P03496'}]"	HPIdb;IntAct	{'23853584'}
"[{'O14907', 'A0A5P8YFW2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8Z9V7', 'O14907'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14908', 'P03496'}]"	HPIdb;IntAct	{'23853584'}
"[{'O14908', 'A0A380PGB4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14908', 'A0A2U2H0M0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14908', 'A0A0E1NSJ9'}, {'O14908', 'A0A6B3T3E8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14908', 'Q5NEL1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14908', 'Q8ZJ10'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2W1K6', 'O14917'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14920', 'Q8Y6A8'}, {'O14920', 'P71451'}]"	HPIdb;IntAct	{'20855622'}
"[{'O14925', 'P03468'}]"	HPIdb	{'26789921'}
"[{'O14925', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O14929', 'P12520'}]"	HPIdb;IntAct	{'22190034'}
"[{'A0A6L7H165', 'O14929'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14929', 'A0A6L7GYY0'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14933', 'Q99PZ6'}]"	HPIdb;IntAct	{'24446487'}
"[{'O14936', 'A0A6L7H060'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14936', 'Q8ZMM8'}]"	Manual	{'31611645'}
"[{'Q75MG2', 'A0A6L8PQR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14949', 'P05777'}]"	HPIdb	{'25464832'}
"[{'A0A6L7H167', 'O14950'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'Q8D065'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'A0A6L7H5I8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'P9WNK3'}]"	Manual	{'24204276'}
"[{'O14964', 'P61416'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q8CZJ9', 'O14964'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'Q8ZGA1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'O68692'}]"	HPIdb;IntAct	{'21911467'}
"[{'O14964', 'Q56061'}]"	Manual	{'31611645'}
"[{'O14964', 'Q81VV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14964', 'A0A6L7H1C2'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14966', 'H9L447'}]"	HPIdb;IntAct	{'22042847'}
"[{'O14966', 'A0A380PDF6'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84061', 'O14967'}]"	IntAct	{'26118995'}
"[{'O84039', 'O14967'}]"	IntAct	{'26118995'}
"[{'O14967', 'P03468'}]"	HPIdb;IntAct	"{'26789921', '28169297'}"
"[{'P06821', 'O14967'}]"	HPIdb	{'26789921'}
"[{'Q5NEW4', 'O14974'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84231', 'O14974'}]"	IntAct	{'26118995'}
"[{'O14974', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'Q5NEC0', 'O14975'}]"	HPIdb;IntAct	{'20711500'}
"[{'O14975', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q5NGZ9', 'O14977'}]"	IntAct	{'26714771'}
"[{'A0A5P8YCL9', 'O14979'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HH45', 'O14979'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O14979'}]"	HPIdb	{'25464832'}
"[{'P15682', 'O14979'}]"	HPIdb	{'25464832'}
"[{'P03496', 'O14979'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q81VX8', 'O14979'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83DF6', 'O14979'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q8ZBZ9', 'O14979'}]"	HPIdb;IntAct	{'20711500'}
"[{'B3CRR2', 'O14980'}, {'B3CTB0', 'O14980'}]"	IntAct	{'29734393'}
"[{'A0A6L8PQ13', 'O14980'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q0WHG3', 'O14981'}]"	HPIdb;IntAct	{'20711500'}
"[{'P06821', 'O14981'}]"	HPIdb;IntAct	{'28169297'}
"[{'O14981', 'Q8CWG4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7ARN5', 'O14981'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NHX0', 'O15015'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'O15021'}]"	HPIdb	{'25464832'}
"[{'O15031', 'Q5NF50'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15031', 'P03468'}]"	HPIdb	{'26789921'}
"[{'A0A0H2W1Z2', 'O15031'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15031', 'Q81JW1'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15031', 'Q8ZEL7'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PRR8', 'O15033'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZFX8', 'O15033'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15042', 'P15682'}]"	HPIdb	{'25464832'}
"[{'O15042', 'P05777'}]"	HPIdb	{'25464832'}
"[{'A0A6L7HA71', 'O15050'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HC63', 'O15054'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15054', 'Q8ZD12'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15062', 'A0A6L7HRJ6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q83DF6', 'O15075'}]"	HPIdb;IntAct	{'29176882'}
"[{'O15084', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O15084', 'P06821'}]"	HPIdb	{'26789921'}
"[{'O15085', 'A0A6L7HRA4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O15085', 'A0A6L8PTK5'}]"	HPIdb;IntAct	{'20711500'}
